Calumet High School, Indiana*41.5475777*-87.4092986
East Chicago Central High School, Indiana*41.6403209*-87.4853127
Gary West Side High School, Indiana*41.59385*-87.4078595
Griffith High School, Indiana*41.5327164*-87.436207
Hammond Academy of Science & Technology High School, Indiana*41.6179983*-87.5235321
Hammond Bishop Noll High School, Indiana*41.6283089*-87.491937
Hammond High School, Indiana*39.1676665*-76.8604854
Hammond Clark High School, Indiana*41.6782559*-87.50683839999999
Hammond Gavit High School, Indiana*41.5762616*-87.4875017
Hammond Morton High School, Indiana*41.5864118*-87.4398167
Highland High School, Indiana*35.0745148*-106.5911943
Lake Central High School, Indiana*41.467027*-87.472988
Munster High School, Indiana*41.5545436*-87.5048099
Whiting High School, Indiana*41.6810164*-87.4937826
21st Century Charter -Gary High School, Indiana*40.0108329*-75.7044236
Andrean High School, Indiana*41.5102973*-87.33377259999999
Crown Point High School, Indiana*41.3897616*-87.3612677
Lighthouse CPA High School, Indiana*39.743379*-86.08896510000001
Gary Roosevelt High School, Indiana*41.5740598*-87.3442627
Hanover Central High School, Indiana*41.3785593*-87.45787899999999
Hebron High School, Indiana*33.0356151*-96.85839039999999
Hobart High School, Indiana*41.5207163*-87.23205109999999
Lowell High School, Indiana*42.6475256*-71.31165500000002
Merrillville High School, Indiana*41.4944455*-87.3298741
River Forest High School, Indiana*41.5589266*-87.27979080000001
Chesterton High School, Indiana*41.5890906*-87.0646117
Boone Grove High School, Indiana*41.3962693*-87.1658616
Lake Station Edison High School, Indiana*41.5771221*-87.245178
LaPorte High School High School, Indiana*41.6011891*-86.7268627
Marquette Catholic High School, Indiana*38.8912643*-90.1825853
Michigan City High School, Indiana*41.6782169*-86.8628109
New Prairie High School, Indiana*41.683073*-86.563983
Portage High School, Indiana*41.55400969999999*-87.16763
South Central (Union Mills) High School, Indiana*41.4643351*-86.81633049999999
Valparaiso High School, Indiana*41.4932851*-87.06756229999999
Washington Township High School, Indiana*39.7421498*-75.0769038
Westville High School, Indiana*41.5416489*-86.89444429999999
Wheeler High School, Indiana*33.9595863*-84.4786781
Kankakee Valley High School, Indiana*41.1856481*-87.1201533
Knox High School, Indiana*41.2854565*-86.62601430000001
Kouts High School, Indiana*41.3128995*-87.02199879999999
LaCrosse High School, Indiana*41.317746*-86.8896859
Morgan Township High School, Indiana*41.392245*-87.024659
North Judson-San Pierre High School, Indiana*41.2106705*-86.7883045
North Newton High School, Indiana*41.0357011*-87.42552649999999
Oregon-Davis High School, Indiana*41.38846600000001*-86.55225100000001
Rensselaer Central High School, Indiana*40.9345016*-87.13625569999999
South Newton High School, Indiana*42.3136457*-71.18625410000001
West Central High School, Indiana*43.6221535*-96.935195
Attica High School, Indiana*40.277395*-87.25062899999999
Benton Central High School, Indiana*40.5640606*-87.2425641
Covington High School, Indiana*40.1431119*-87.39594060000002
Crawfordsville High School, Indiana*40.0209269*-86.90744409999999
Fountain Central High School, Indiana*40.1062136*-87.22666009999999
Frontier High School, Indiana*35.4174373*-119.1485136
North Montgomery High School, Indiana*40.1246682*-86.9068336
North Vermillion High School, Indiana*39.9676332*-87.45259170000001
North White High School, Indiana*40.8675418*-86.8756643
Seeger High School, Indiana*40.2981631*-87.3881674
Southmont High School, Indiana*39.9472479*-86.90555189999999
Tri-County High School, Indiana*42.0949545*-71.42150219999999
Twin Lakes High School, Indiana*40.74207579999999*-86.7701417
Clinton Central High School, Indiana*40.297755*-86.391188
Clinton Prairie High School, Indiana*40.251284*-86.5920069
Delphi Community High School, Indiana*40.5752004*-86.6649688
Faith Christian High School, Indiana*39.7851803*-105.0901505
Frankfort High School, Indiana*40.281529*-86.485168
Harrison (West Lafayette) High School, Indiana*40.499183*-86.91452620000001
Lafayette Central Catholic High School, Indiana*40.3927809*-86.8870068
Lafayette Jefferson High School, Indiana*40.3985594*-86.87487899999999
McCutcheon High School, Indiana*40.3509069*-86.9031813
Rossville High School, Indiana*40.4140594*-86.59762970000001
West Lafayette High School, Indiana*40.436141*-86.9118518
Western Boone High School, Indiana*40.0563338*-86.6131316
Argos High School, Indiana*41.24131*-86.25032240000002
Caston High School, Indiana*40.9116962*-86.28217389999999
Culver Academies High School, Indiana*41.2250559*-86.4047044
Culver Community High School, Indiana*41.2238137*-86.42521579999999
Manchester High School, Indiana*41.7815756*-72.51733999999999
North Miami High School, Indiana*25.8969252*-80.184148
Plymouth High School, Indiana*41.3473756*-86.3027616
Rochester Community High School, Indiana*41.0577808*-86.2243472
Tippecanoe Valley High School, Indiana*41.1095802*-86.0393392
Triton High School, Indiana*41.3013485*-86.1090019
Warsaw Community High School, Indiana*41.2237933*-85.8658955
Carroll (Flora) High School, Indiana*40.545908*-86.4804912
Cass High School, Indiana*34.2819296*-84.7623117
Eastern (Greentown) High School, Indiana*40.4728487*-85.97085
Kokomo High School, Indiana*40.4560891*-86.1575594
Logansport High School, Indiana*40.7493624*-86.3314841
Maconaquah High School, Indiana*40.651725*-86.06580300000002
Northwestern High School, Indiana*34.9502215*-81.08301449999999
Peru High School, Indiana*40.760488*-86.0728159
Pioneer High School, Indiana*37.2469501*-121.8824422
Taylor High School, Indiana*29.7766275*-95.7309206
Western High School, Indiana*26.1048932*-80.328835
Winamac Community High School, Indiana*41.0458267*-86.5963694
Bremen Senior High School, Indiana*41.4441506*-86.14192059999999
Bethany Christian School, Indiana*41.5455148*-85.8271025
Angola High School, Indiana*41.6317985*-84.971477
Carroll (F.W.) High School, Indiana*41.1903467*-85.1925191
Glenn High School, Indiana*36.0675205*-80.11424339999999
Concord  Community High School, Indiana*41.635752*-85.9286636
Central Noble High School, Indiana*41.3976883*-85.42005759999999
Columbia City High School, Indiana*41.16285610000001*-85.4841256
LaVille Jr-Sr High School, Indiana*41.4781872*-86.3031157
Elkhart Central High School, Indiana*41.6848123*-85.95888959999999
Churubusco Jr-Sr High School, Indiana*41.2309817*-85.3236374
F.W. Blackhawk Christian Jr-Sr High School, Indiana*41.1050294*-85.04571969999999
Mishawaka High School, Indiana*41.6630632*-86.1616794
Elkhart Central High School, Indiana*41.6848123*-85.95888959999999
Christian Academy of Indiana, Indiana*38.3257356*-85.8289458
DeKalb High School, Indiana*41.9546512*-88.758502
F.W. Concordia Lutheran High School, Indiana*41.109845*-85.117668
Mishawaka Marian High School, Indiana*41.6498136*-86.1973249
Elkhart Memorial High School, Indiana*41.6968351*-86.0138757
East Noble High School, Indiana*41.4347673*-85.25746620000001
F.W. Bishop Dwenger High School, Indiana*41.1318002*-85.1254925
Penn High School, Indiana*41.6789166*-86.1077188
Fairfield Jr-Sr High School, Indiana*41.517725*-85.7679462
Eastside Junior-Senior High School, Indiana*41.43152*-84.86328999999999
F.W. Northrop High School, Indiana*41.1457383*-85.1394507
S.B. Adams High School, Indiana*41.6670326*-86.2228372
Goshen High School, Indiana*41.5807053*-85.8230976
Fremont High School, Indiana*37.7741975*-122.209378
F.W. North Side High School, Indiana*32.7848415*-97.3712449
S.B. Career Academy, Indiana*41.7277848*-86.331558
Jimtown High School, Indiana*41.6372322*-86.02399640000002
Lakeland High School, Indiana*28.035489*-81.94002859999999
F.W. Snider High School, Indiana*41.1077269*-85.08243139999999
S.B. Clay High School, Indiana*41.7326017*-86.2383412
Northridge High School, Indiana*41.0949984*-111.9709849
Prairie Heights Sr High School, Indiana*41.639249*-85.2002749
Garrett High School, Indiana*41.348105*-85.12719299999999
S.B. Riley High School, Indiana*41.6544793*-86.24431299999999
NorthWood High School, Indiana*33.7342229*-117.7502612
West Noble High School, Indiana*41.4258661*-85.58130880000002
Homestead Senior High School, Indiana*25.4494387*-80.45916249999999
S.B. Saint Joseph's High School, Indiana*41.6813057*-86.2390061
Wawasee High School, Indiana*41.4179325*-85.75673119999999
Westview Jr-Sr High School, Indiana*41.6174014*-85.5397318
Lakewood Park Christian School, Indiana*41.3320724*-85.0466916
South Bend Washington High School, Indiana*41.67496999999999*-86.31422189999999
Leo Junior/Senior High School, Indiana*41.2198405*-85.017715
Whitko High School, Indiana*41.0829323*-85.63544209999999
Adams Central High School, Indiana*40.746696*-84.942426
Blackford High School, Indiana*40.4848916*-85.37228189999999
Alexandria-Monroe High School, Indiana*40.2520348*-85.6782961
Cowan High School, Indiana*40.1078972*-85.3931491
